Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket135.json,NaN,No,1.35,NaN,13/11/2019,NaN,NaN
ticket1350.json,B18905182,No,3.3,NaN,Invalid date,NaN,NaN
ticket1351.json,NaN,No,12.06,NaN,14/06/2019,NaN,NaN
ticket1352.json,NaN,No,14,267708fecha:e-ma,29/05/2019,21,NaN
ticket1353.json,NaN,No,5.16,NaN,Invalid date,10,NaN
ticket1354.json,NaN,No,8224,NaN,06/06/2019,10,NaN
ticket1355.json,B18905182,Si,35.5,NaN,Invalid date,10,NaN
ticket1356.json,NaN,No,1.95,"uvale,paraelloyenvoltorio",Invalid date,21,NaN
ticket1357.json,NaN,No,9581,comesales1,31/05/2019,10,NaN
ticket1358.json,NaN,No,38.1,comesales2,28/05/2019,10,NaN
ticket1359.json,NaN,No,33,comesales2,13/06/2019,10,NaN
ticket136.json,NaN,No,4.6,NaN,13/11/2019,NaN,NaN
ticket1360.json,B18905182,Si,13.8,NaN,15/06/2019,NaN,NaN
ticket1361.json,B18905182,Si,42.3,NaN,14/06/2019,10,NaN
ticket1362.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket137.json,A13048434,No,8927,(copia),01/11/2020,10,NaN
ticket1373.json,NaN,No,10,NaN,20/05/2019,NaN,NaN
ticket1374.json,NaN,No,1.3,NaN,06/06/2019,NaN,NaN
ticket1375.json,NaN,No,4.65,NaN,06/06/2019,NaN,NaN
ticket1376.json,A82492729,No,0,NaN,06/06/2019,21,NaN
ticket1377.json,NaN,No,15.47,NaN,05/08/2019,10,NaN
ticket1378.json,B18905182,Si,4,comesales1,29/06/2006,10,NaN
ticket1379.json,NaN,No,2.35,NaN,05/06/2019,21,NaN
ticket138.json,NaN,No,8927,seadmitevolucionescon,Invalid date,4,NaN
ticket1382.json,NaN,No,3.01,44300,Invalid date,21,NaN
ticket1383.json,NaN,No,14,diaselcambioseefectuaconea,Invalid date,21,NaN
ticket1384.json,NaN,No,5.65,NaN,31/05/2019,NaN,NaN
ticket1385.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket139.json,NaN,No,8927,imptoesb-41014028,11/11/2019,NaN,NaN
ticket1390.json,A82492729,No,0,NaN,10/04/2019,21,NaN
ticket14.json,B18410209,No,12.3,serie/,30/12/2019,10,NaN
ticket140.json,B18905182,No,6.5,comesales2,10/06/2011,NaN,NaN
ticket141.json,NaN,No,12.42,seadmitevolucionescon,Invalid date,10,NaN
ticket1411.json,NaN,No,11.6,NaN,20/05/2019,10,NaN
ticket1412.json,A82492729,No,0,NaN,09/05/2019,21,NaN
ticket1413.json,NaN,No,4.6,NaN,09/05/2019,NaN,NaN
ticket1414.json,NaN,No,8331,NaN,09/05/2019,NaN,NaN
ticket1415.json,NaN,No,8331,NaN,08/05/2019,NaN,NaN
ticket1416.json,NaN,No,16,00001uaut:186882venta,22/05/2019,NaN,NaN
ticket1417.json,NaN,No,8331,NaN,Invalid date,NaN,NaN
ticket1418.json,NaN,No,11,NaN,20/03/2020,NaN,NaN
ticket1419.json,NaN,No,8331,NaN,Invalid date,NaN,NaN
ticket142.json,NaN,No,90,NaN,05/11/2019,NaN,NaN
ticket1420.json,NaN,No,8331,NaN,06/05/2019,10,NaN
ticket1421.json,NaN,No,80,NaN,20/03/2020,NaN,NaN
ticket1422.json,NaN,No,5.8,úm01/0221629,Invalid date,21,NaN
ticket1423.json,NaN,No,11,NaN,16/05/2019,NaN,NaN
ticket1424.json,NaN,No,67.7,umlin11,25/05/2019,10,NaN
ticket143.json,NaN,No,90,NaN,05/11/2019,10,NaN
ticket144.json,B85036853,No,18.5,NaN,04/11/2019,NaN,NaN
ticket145.json,NaN,No,0,NaN,04/11/2019,NaN,NaN
ticket1452.json,B18298521,No,16.71,NaN,20/05/2019,NaN,NaN
ticket1454.json,NaN,Si,26,NaN,09/05/2019,NaN,NaN
ticket1455.json,NaN,No,16,imptoesb-41014028,15/05/2019,NaN,NaN
ticket1456.json,NaN,No,4492,imptoesb-41014028,07/05/2019,NaN,NaN
